IMPUTATION;ANNEE;CATEGORIE;TITRE;ADRESSE URL;icon
OPEN SOURCE;2016;Sophia Conf 2016;G. HEINRICH (Nvidia) Deep Learning accéléré par GPU;https://www.youtube.com/watch?v=Mios-ysHeg0;
OPEN SOURCE;2016;Sophia Conf 2016;G.PLASSAT Questions;https://www.youtube.com/watch?v=C_J5nXftfYs;
OPEN SOURCE;2016;Sophia Conf 2016;"L. BOGHOSSIAN Résumé de la soirée du 7 juillet """"Economie collaborative""""""";https://www.youtube.com/watch?v=TAIVSUJM3Yg;
OPEN SOURCE;2016;Sophia Conf 2016;L. JUGGERY (TraXxs) Applications Saas et méthodologie 12-Factor;https://www.youtube.com/watch?v=_aabZfdkZJs;
OPEN SOURCE;2016;Sophia Conf 2016;M. DUCOFFE (UNS I3S) Introduction au Deep Learning;https://www.youtube.com/watch?v=ecNN04T_flA;
OPEN SOURCE;2016;Sophia Conf 2016;M. GORNER (Google) Tensorflow et l’apprentissage profond;https://www.youtube.com/watch?v=pHMfATDTvko;
OPEN SOURCE;2016;Sophia Conf 2016;M. GORNER Question;https://www.youtube.com/watch?v=HQar2OfGivo;
OPEN SOURCE;2016;Sophia Conf 2016;MA. BERNASCONI (Estrelab) L’économie collaborative peut-elle faire encore rêver ?;https://www.youtube.com/watch?v=VICIBZvbxnU;
OPEN SOURCE;2016;Sophia Conf 2016;MA. BERNASCONI Questions;https://www.youtube.com/watch?v=ryH7Htb3_Ko;
OPEN SOURCE;2016;Sophia Conf 2016;MANUEL (Com4innov)/LEFEUVRE (Tas France) FIWARE Lab;https://www.youtube.com/watch?v=c9hJlcYuaCY;
OPEN SOURCE;2016;Sophia Conf 2016;N. MULLER (Treeptik) CloudUnit la plateforme DevOps Java;https://www.youtube.com/watch?v=PSu89F_FHGQ;
OPEN SOURCE;2016;Sophia Conf 2016;N. MULLER Questions;https://www.youtube.com/watch?v=w5LIHHw3wxU;
OPEN SOURCE;2016;Sophia Conf 2016;P. MICHIARDI (Eurecom) Passé, présent et futur pour Apache Spark;https://www.youtube.com/watch?v=I9PZhCNRxao;
OPEN SOURCE;2016;Sophia Conf 2016;S. BEUZIT/G. GAGNIARD (Amadeus) Moving Amadeus Shopping to the cloud;https://www.youtube.com/watch?v=VwyolgVPATk;
OPEN SOURCE;2016;Sophia Conf 2016;S. BEUZIT/G. GAGNIARD Questions;https://www.youtube.com/watch?v=QkGsD-Os8F0;
OPEN SOURCE;2016;Sophia Conf 2016;S. MARTI (Orange) Machine Learning appliqué aux séries temporelles;https://www.youtube.com/watch?v=dEBdv8RD02Q;
OPEN SOURCE;2016;Sophia Conf 2016;S. MARTI Questions;https://www.youtube.com/watch?v=cBD-r3g55yQ;
OPEN SOURCE;2016;Sophia Conf 2016;S.ALEGRET (Greencom Networks) Genèse d’une plateforme IoT pour les Smart Grids;https://www.youtube.com/watch?v=4mBFRiHQBdI;
OPEN SOURCE;2016;Sophia Conf 2016;TOCS - FLOWERS IN THE AIR Questions;https://www.youtube.com/watch?v=NmE5t5svf38;
OPEN SOURCE;2016;Sophia Conf 2016;L. JUGGERY Questions;https://www.youtube.com/watch?v=EuN2LZWsWXM;
SOFAB;2016;Sophia Conf 2016;TOCS - URBAN VOICES Questions;https://www.youtube.com/watch?v=DMWbMatBZzA;
Communication;2016;;Voeux 2016 - Telecom Valley;https://www.youtube.com/watch?v=HXjroUWnx0o;
